N,g,two_sqrt_g,C_S4,margin,VALOR,CM,Cert_SHA,parent_M7_SHA
108,10,6.32455532,11.42214869,5.09759337,50975,0,325747395012b6d9...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
109,8,5.65685425,11.42214869,5.76529444,57652,0,e88c4ddb3ed2ceda...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
110,15,7.74596669,11.42214869,3.67618200,36761,0,4f6e458ca7bb458d...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
111,11,6.63324958,11.42214869,4.78889911,47888,0,b9762c3a0c723d2c...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
112,11,6.63324958,11.42214869,4.78889911,47888,0,f165319f08507c69...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
113,9,6.00000000,11.42214869,5.42214869,54221,0,796d41cbcf75f087...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
114,17,8.24621125,11.42214869,3.17593744,31759,0,e95788bd0856a6f8...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
115,11,6.63324958,11.42214869,4.78889911,47888,0,419cd627a4d179e0...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
116,13,7.21110255,11.42214869,4.21104614,42110,0,d652f7cd6647ad31...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
117,11,6.63324958,11.42214869,4.78889911,47888,0,212b2f204cda32c3...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
118,14,7.48331477,11.42214869,3.93883392,39388,0,865619676999e785...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
119,11,6.63324958,11.42214869,4.78889911,47888,0,d28f7e244e62af6f...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
120,17,8.24621125,11.42214869,3.17593744,31759,0,aff5758140dd6dad...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
121,6,4.89897949,11.42214869,6.52316920,65231,1,68bb883e455cb3aa...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
122,14,7.48331477,11.42214869,3.93883392,39388,0,3712e24da8cfe53f...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
123,13,7.21110255,11.42214869,4.21104614,42110,0,459fd8dc8a3bb847...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
124,14,7.48331477,11.42214869,3.93883392,39388,0,370a646fbecc72b7...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
125,8,5.65685425,11.42214869,5.76529444,57652,0,3f5d01b21d6423ef...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
126,17,8.24621125,11.42214869,3.17593744,31759,0,9287ce9cd31fb21e...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
127,10,6.32455532,11.42214869,5.09759337,50975,0,ef464f9160da8891...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
